,Question,Answer
138,                                Does WHO recommend the use of fabric masks for the general public?                            ,"At the present time, the widespread use of masks everywhere is not supported by high-quality scientific evidence, and there are potential benefits and harms to consider.However, there are some settings in which it may not be possible to keep physical distancing and the use of a mask could be helpful to provide a barrier to limit the spread of potentially infectious droplets from someone who is infected. In addition, there is some evidence which suggests that some infected people without showing symptoms may be able to transmit the virus others.For this reason, WHO advises that governments should encourage the use of non-medical fabric masks, which can act as a barrier to prevent the spread of the virus from the wearer to others where there are many cases of COVID-19, for people in the general public where physical distancing of at least 1 metre is not possible – such as, on public transport, in shops or in other confined or crowded environments.It is important to note that masks should only be used as part of a comprehensive strategy. Masks on their own will not protect you from COVID-19. People should also clean their hands frequently and maintain a distance of at least 1 metre from others. "
139,"                                Since there are many types of fabric masks available, does WHO have any guidance on which masks to use?                            ","WHO is actively studying and encouraging research on the science of masks. New research findings identified the following preferable types of fabrics, number of layers and the composition of a non-medical, fabric mask:an inner layer of absorbent material such as cottona middle layer of non-woven material such as polypropylene an outer layer of non-absorbent material, such as polyester or polyester blendMore information on the types of materials and their effectiveness can be found in the updated mask guidance document - Coronavirus disease (COVID-19) technical guidance: Infection prevention and control / WASHMake sure to construct or purchase a mask that lets you breathe while talking and walking briskly.Remember, the use of a fabric mask alone is not sufficient to provide an adequate level of protection. Maintain a minimum physical distance of at least 1 metre from others and frequently clean your hands.WHO recommends that people always consult local authorities on recommended practices in their area."
140,                                How should I wear and care for a fabric mask?                            ,"Using a fabric mask:Clean your hands before putting on the mask. Inspect the mask for tears or holes, do not use a mask that is damaged.Adjust the mask to cover your mouth, nose, and chin, leaving no gaps on the sides.Avoid touching the mask while wearing it.Change your mask if it gets dirty or wet.Clean your hands before taking off the mask.Take off the mask by removing it from the ear loops, without touching the front of the mask.Clean your hands after removing the mask.Caring for a fabric mask:If your fabric mask is not dirty or wet and you plan to reuse it, put it in a clean plastic, resealable bag. If you need to use it again, hold the mask at the elastic loops when removing it from the bag.Wash fabric masks in soap or detergent and preferably hot water (at least 60 degrees) at least once a day.If hot water is not available, wash the mask in soap/detergent and room-temperature water, followed by either boiling the mask for 1 minute OR; by soaking the mask in 0.1% chlorine for 1 minute and thoroughly rinsing the mask with room temperature water (there should not be any toxic residue of chlorine on the mask).Make sure you have your own mask and do not share it with others. When and how to use masksRemember, the use of a fabric mask alone is not sufficient to provide an adequate level of protection. Maintain a minimum physical distance of at least 1 metre from others and frequently clean your hands. "
141,                                Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?                            ,"No, WHO does not recommend the use of gloves by people in the community. The wearing of gloves may increase risk of infection, since it can lead to self-contamination or transmission to others when touching contaminated surfaces and then the face.Therefore, in public places such as supermarkets, in addition to physical distancing, WHO recommends the installation of public hand hygiene stations at the entrance and exit.By widely improving hand hygiene practices, countries can help prevent the spread of the COVID-19 virus.WHO recommends that people always consult local authorities on recommended practices in their area."
142,                                What are the key measures all people should do to protect themselves and others in the context of the COVID-19 pandemic?                            ,"It is an important reminder that in the context of the COVID-19 pandemic, everyone, regardless of the use of masks, should:avoid groups of people and crowded spaces;maintain physical distance of at least 1 meter from other people, especially from those who are sick;clean your hands frequently, using an alcohol-based hand rub if hands are not visibly dirty, or soap and water;cover your nose and mouth with a bent elbow or paper tissue when coughing or sneezing, dispose of the tissue and clean your hands immediately after use;refrain from touching your mouth, nose, and eyes.Above all, stay informed of the progress of the disease, pay attention to local authorities and their recommendations, and follow and encourage best practices."
143,                                How large does a meeting or event need to be in order to be a “mass gathering”?                            ,"High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings. However, lower profile conferences and events can also meet WHO’s definition of a mass gathering. An event counts as a “mass gatherings” if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. You need to consider the location and duration of the event as well as the number of participants. For example, if the event takes place over several days in a small island state where the capacity of the health system is quite limited then even an event with just a few thousand participants could place a big strain on the health system and then be considered a “mass gathering” event. Conversely, if the event is held in a big city in a country with a large, well-resourced health system and lasts just a few hours, the event may not constitute a “mass gathering” event. "
144,                                Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?                            ,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. Any decision to change a planned international gathering should be based on a careful assessment of the risks and how they can be managed, and the level of event planning. The assessment should involve all stakeholders in the event, and in particular the health authorities in the country or community where the event is due to take place. These authorities and stakeholders are in the best position to assess the level of stress the event might place on the local health system and emergency services – and whether this level of stress is acceptable in the current situation. It is WHO’s view that all countries with community transmission should seriously consider postponing or reducing mass gatherings that bring people together and have the potential to amplify disease and support the recommended best practice of physical distancing. Any decision will be supported through the use of WHO tools, in particular the Risk Assessment for Mass Gatherings during COVID-19. If movement restrictions and further national measures have been established in the country, the WHO RA does not apply. However, when the process of re-opening/conducting mass gatherings is being considered post movement restrictions, it will be key to ensure any decisions are based on a risk assessment, such as the WHO Mass gatherings COVID-19 risk assessment."
145,                                What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?                            ,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread. In making this assessment, the organizers and their national or local health authorities should recognize that the risk of imported cases of COVID-19 is naturally linked to international travel. They should also recognize that it is neither realistic or desirable to aim for zero risk. When organizers and health authorities are determining whether to hold a mass gathering, they should determine what is an acceptable risk and what additional measures should be implemented to mitigate the risks.For countries where COVID-19 has already started to spread in the community, key consideration will be: aiming at containing or at least slowing down the spread of the virus in the local community/country.preventing participants from other countries being infected with COVID-19  In each case the risk should be considered in the context of the known features of COVID-19, its severity, its transmissibility and the effectiveness of measures to prevent or reduce transmission. The strain already placed on the local health system in responding to COVID-19 outbreak(s), and the additional strain the mass gathering might place on the system also need to be taken into account.You can find more advice on what to look at in the WHO document Key planning recommendations for Mass Gatherings in the context of the current COVID-19 outbreak of 14 February 2020. See: https://www.who.int/publications-detail/key-planning-recommendations-for-mass-gatherings-in-the-context-of-the-current-covid-19-outbreak  "
146,                                What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?                            ,The national and local public health authorities in the country where you plan to hold the mass gathering will most likely know how to conduct a health risk assessment. If there is a WHO Country Office there they may also be able to provide some expert support. So too might the WHO Regional Office in your part of the world. You can find the names and contact details of the WHO Regional Offices at https://www.who.int/about/who-we-are/regional-offices  
147,"                                If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?                            ","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
148,                                Where can I find more advice on assessing and managing health risks around international mass gatherings?                            ,"WHO has produced guidance and also a training course on how to plan for a mass gathering. The guidance and the course both look at how to conduct a risk assessment, plan for and manage health risks in partnership with the local authorities: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance/points-of-entry-and-mass-gatherings  You can find advice to give individual participants on how to protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  "
149,                                What should be the criteria for excluding an athlete or other accredited participant from competing?                            ,"Agreed health criteria are needed for the exclusion of athletes from competing and for allowing them to return to competition wherever appropriate. These should be consistent with public health guidelines for the general population, with risk profiles based on recent travel to high-risk community transmission zones, recent contact with individuals diagnosed with or suspected of having COVID-19, current symptomatology, etc. Athletes who are feeling unwell should not participate in events.If testing of athletes has been agreed with the local public health service there is a need to consider test availability, time taken for receipt of test results and host-country health services capacity. Criteria for exclusion of officials/judges from competition and for allowing them to return to competition where appropriate should follow guidance and criteria for the workplace.Requirements for the attendance of all athletes and other accredited participants should be put in place:–   health check: travel declaration and temperature screening–   contact tracing protocols ready (with all details of those present) –   allowing extra spacing (physical distancing)–   following all hygiene precautions.  Isolation procedures for athletes and other accredited participants (e.g. field-of-play staff, medical teams, officials who have close contact with the athletes) who feel unwell or become symptomatic should be clear and documented and rehearsed prior to holding the event, especially for higher risk sports, e.g. contact sports. "
150,                                Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?                            ,"Temperature screening alone, at exit or entry, is not an effective way to stop international spread, since infected individuals may be in incubation period, may not express apparent symptoms early on in the course of the disease, or may dissimulate fever through the use of antipyretics; in addition, such measures require substantial investments for what may bear little benefits. It is more effective to provide prevention recommendation messages to travellers and to collect health declarations at arrival, with travellers’ contact details, to allow for a proper risk assessment and a possible contact tracing of incoming travellers. Event organizers should also consider the capacity to undertake this and the management of suspected cases. However, sporting organizations may have criteria for participation that are stricter than government requirements for Ports of Entry into the country that are based on event risk assessment, including organizers' healthcare capacity.Any additional screening questionnaires for participation in events need to be aligned with public health agencies in the jurisdiction. There is a need to consider how to manage different groups – athletes, officials and spectators, and the large numbers of individuals likely to arrive at a sporting event from many oversea countries – and to follow both host country and WHO travel advice and to assess whether there is difficulty in obtaining accurate information about the travel history of those individuals. "
151,                                Should event organizers provide COVID-19 testing?                            ,"No, testing should be conducted in accordance with local health providers and national guidance.  Anyone unwell or symptomatic should not be allowed to participate in the event. Establish close collaboration with local public health authorities well before the event, to facilitate testing for athletes, officials or spectators who meet pre-agreed suspect cases definitions. Consider host-country health service capacity to manage any COVID-19 activity, and other public health issues happening at the event over and above its own national pandemic response. "
152,                                Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?                            ,"Follow standard preventative advice to the general public, including physical distancing, in the athletes’ village.Also promote:signage, digital messaging to all participants and their entourages about COVID-19 and how to prevent infectionregular disinfection and cleaning of surfaces, in venues and in personal spaces non-sharing of equipment and cleaning of equipment after each user.Organizers are recommended to develop a checklist (include hand gels stations, hygiene facilities, etc.). See the event mitigation recommendations checklist for event organizers above. "
153,                                What are the risks arising from public transport to the venue(s)?                            ,The extra risk from participants and spectators travelling on public transport in a major city may not be significant compared to the ongoing risk to the local population using the transport all the time if physical distancing is not possible on public transport. 
154,                                What is COVID-19?                            ,"COVID-19 is a disease caused by a new coronavirus, which has not been previously identified in humans. In most cases, COVID-19 causes mild symptoms including dry cough, tiredness and fever, though fever may not be a symptom for some older people. Other mild symptoms include aches and pains, nasal congestion, runny nose, sore throat or diarrhoea. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and has difficulty breathing. "
155,                                How is COVID-19 transmitted?                            ,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth, which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, and then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets.  "
156,                                Who is at risk of developing severe disease?                            ,"Older people, and people of all ages with pre-existing medical conditions (such as diabetes, high blood pressure, heart disease, lung disease, or cancer) appear to develop serious illness more often than others. "
157,"                                Is there a vaccine, drug or treatment for COVID-19?                            ","While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon as research results become available. "
158,                                What can I do to prevent infection?                            ,"To prevent infection, there are a five things that you can do. 1. Wash your hands frequently and thoroughly with soap and water and dry them thoroughly. You can also use alcohol-based hand rub if your hands are not visibly dirty and if this product is available. Cleaning your hands frequently will remove the virus if it is on your hands. You can learn how to wash your hands hands in this video (or this visual). If an alcohol-based hand rub or soap is not available, then using chlorinated water (0.05%) for handwashing is an option, but it is not ideal because frequent use may irritate your skin.  2. Cover your mouth and nose with a flexed elbow or tissue when coughing and sneezing. And remember to throw away the used tissue immediately in a bin with a lid and to wash your hands. This way you protect others from any virus released through coughs and sneezes. 3. Avoid touching your eyes, nose and mouth. Hands touch many surfaces which can be contaminated with the virus. If you touch your eyes, nose or mouth with unclean hands, you can transfer the virus from the surface to yourself. 4. Keep physical distance from others. If your national or local authorities have put in place confinement measures, it is important to respect them. Taking exercise outside is good for your physical and mental health, but should only be undertaken if regulations for your area allow it. When you do go out, avoid crowded spaces and maintain at least 1 metre distance (3 feet or arms-length) from others. Avoid unnecessary visits to your house. If visits are necessary (e.g. caregiver to support with activities of daily living), ask your visitor to regularly check for symptoms to ensure that they are symptom free when visiting you. Ask them to also follow these five key actions, including washing their hands when they first enter your home.  5. Clean and disinfect frequently touched surfaces every day. This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, taps, and sinks. If surfaces are dirty, use detergent or soap and water prior to disinfection. Learn more by clicking here."
159,                                What can older people do to prepare for COVID-19 in their community?                            ," There is a lot that you can do to prepare for COVID-19 in your community. Inform yourself of the special measures taken in your community as well as the services and the sources of reliable information that are availableduring the health emergency  (e.g. home deliveries, psychosocial support, health ministry website, alternative access to your pension). Create a list of the basic supplies that you will need for at least two weeks and try to get these delivered where possible (e.g. non-perishable food items, household products, batteries for assistive            devices you may use, and prescription medicines). Alternatively, ask family members, caregivers, neighbours or community leaders to help with ordering and/or delivery of groceries or prescription medicines. Make sure that your mobile phone            credit is topped up and identify a safe place to charge your phone regularly so that you can keep in contact with family and friends and reach emergency services if needed.   Make a list of emergency numbers (e.g. COVID-19 local helpline, nearby hospital and health emergencies numbers, hotline for victims of abuse, psychosocial support hotline) and support contacts (e.g. family members            and friends, main caregiver, community care worker, associations of older persons). If you live alone, you may wish to share this list and ask your neighbours, family or caregiver to be in touch regularly, for example, by phone or video chat. Discuss with your health-care worker how your health needs can be addressed during COVID-19. This may involve postponing non-urgent appointments, talking to your doctor or health-care worker by phone or video chat instead            of in person and/or revising your vaccination schedule. If you rely on the support provided by a caregiver, identify with him or her another person that you trust to support your daily living and care needs in case your caregiver is unable to continue to provide            care. Together, you can note down all the personal care and assistance that you require and how it should be provided and share it with this trusted person so that they can be ready to provide care in case of need.  If you are the primary caregiver of another person who is care dependent (e.g. grandchild, older spouse, child with a disability), identify a person that you and the person that you care for trust to take on your caregiving responsibilities in case you fall sick. Local authorities or volunteer organizations that provide support in these situations in your community might be able to help. If multiple people live in your home, if possible prepare a separate room or space in your home so that anyone showing symptoms compatible with COVID-19 can be isolated from others. If you do not have space for self-isolation,            contact your community leaders or local health authorities to see if there is community space that could help you or other household members self-isolate. Think about what matters most to you regarding care and support, including medical treatment, in case something happens to you and you are unable to make your own decisions. If you want to develop an advanced care plan to record            your treatment and care wishes, you can talk about it with your health-care worker or someone that you trust. You can write down your wishes and  share them with people you trust.   "
160,                                How can I keep healthy on a daily basis during the COVID-19 pandemic?                            ,"You can follow these 10 steps to keep healthy during the COVID-19 pandemic.Keep to your regular routines as much as possible and maintain a daily schedule for yourself including sleeping, meals and activities.  Stay socially connected. Speak to loved ones and people you trust every day or as much as possible, using the telephone, video-calls or messaging, through writing letters, etc. Use this time to share your feelings and to do common        hobbies together.         Be physically active every day. Reduce long periods of sitting and set up a daily routine that includes at least 30 minutes of exercise. Make sure to do activities that are safe and appropriate for your level of physical fitness as        indicated by your health-care worker. You can use household chores as a way to keep physically active, follow an on-line class (e.g. Tai Chi, yoga) or choose your favourite music and dance to that.  Drink water and eat healthy and well-balanced meals. This will keep you hydrated, help strengthen your immune system and lower the risk of chronic illnesses and infectious diseases.  For nutrition advice click here. Avoid smoking and drinking alcohol. Smokers are likely to be more vulnerable to COVID-19 because smoking can affect lung capacity and because the act of smoking increases the possibility of transmission of virus from hand        to mouth. Drinking alcohol not only disturbs your sleep but may also increase your risk of falls, weaken your immune system, and interact with any prescription medicines that you are taking. Limit the amount of alcohol you drink or don’t        drink alcohol at all.         Take breaks from news coverage about COVID-19 as prolonged exposure can cause feelings of anxiety and despair. Seek updates at specific times of the day from a reliable source like the WHO website click here or national or local channels in order to help you distinguish facts from rumours or scams.  Engage in hobbies and activities that you enjoy or learn something new. Cognitive exercise such as reading a book or doing crosswords/sudoku will keep your mind active and distract you from worrying. You can also use this time to        keep a well-being diary (click here for an example.) If you have ongoing health conditions, take your prescribed medicines and follow the advice of your health-care workerregarding any health visits or phone consultations.         If you have an emergency medical condition that is not related to COVID-19, contact health emergencies immediately and ask what you should do next. Follow the instructions of the health-care worker.  If stress, worry, fear or sadness get in the way of your daily activities for several days in a row, seek psychosocial support from available services in your community.  If you are subject to abuse or violence from        others, tell someone you trust and report this to the relevant authorities. You can also seek support from dedicated helplines that may be available in your country. "
161,                                What should I do if I have symptoms of COVID-19?                            ,"If you present symptoms related to COVID-19, seek medical advice. Call by phone first if possible and give information about pre-existing health conditions and medicines that you are taking. Follow the instructions of the health-care worker and monitor your symptoms regularly.  If you have difficulty breathing, contact health emergencies immediately as this may be due to a respiratory infection. Call by phone first if possible to learn what to do next. If you live with others, make sure that you isolate yourself as soon as you suspect infectionby using the space that you identified in advance. You and other members of the household should also wear a medical mask as much as possible if these are available. You can learn how to wear a mask here. If you live with others and home care for COVID-19 is advised by your health-care worker, other household members should follow available guidance on home care for patients with COVID-19 presenting with mild symptoms and management of their contacts (guidance here). See related flyers for people who are ill, for household members and for caregivers.  If you live alone and home care for COVID-10 is advised by your health-care worker, ask your family, friends, neighbours, health-care worker or a local volunteer organisation to check in on you regularly and to provide support as needed following existing guidance for caregivers (guidance here)."
162,                                I have recently lost someone I care about. What advice do you have to help me cope?                            ,"Losing someone close to you is always hard, whatever the cause. During these extraordinary circumstances, when your usual routine may be disrupted and when funerals may not be permitted, it may be even harder. Following this advice may help. Do not criticise yourself for how you feel. When you lose a family member or friend to COVID-19, you may experience a range of emotions.  You may also have difficulty sleeping or low levels of energy. All these feelings are normal        and there is no right or wrong way to feel grief. Allow yourself time to process your emotions in response to your loss. You may think that the sadness and pain that you feel will never go away, but in most cases, these feelings lessen over time. Talk regularly with people that you trust about your feelings. Keep to your routines as much as you feel able and try to focus on activities that bring you joy. Seek advice and comfort from people that you trust (e.g. religious/faith leaders, mental health workers or other trusted members of your community) while maintaining physical distance (e.g. attending virtual mass).    Think of alternative ways to say goodbye to the person who passed away such as writing a letter or dedicating a drawing to your loved one. These are small actions that can help you cope with grief and loss, particularly in situations where funeral services are not permitted "
163,                                Are pregnant women at higher risk from COVID-19?                            ,"Research is currently underway to understand the impacts of COVID 19 infection on pregnant women. Data are limited, but at present there is no evidence that they are at higher risk of severe illness than the general population. However, due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19, and report possible symptoms (including fever, cough or difficulty breathing) to their healthcare provider.WHO will continue to review and update its information and advice as more evidence becomes available."
164,                                I’m pregnant. How can I protect myself against COVID-19?                            ,"Pregnant women should take the same precautions to avoid COVID-19 infection as other people. You can help protect yourself by:Washing your hands frequently with an alcohol-based hand rub or soap and water.Keeping space between yourselves and others and avoiding crowded spaces.Avoiding touching your eyes, nose and mouth.Practicing respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility, and follow the directions of your local health authority. Pregnant women and women who have recently delivered – including those affected by COVID-19 - should attend their routine care appointments.  "
165,                                Should pregnant women be tested for COVID-19?                            ,"Testing protocols and eligibility vary depending on where you live. However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care.  "
166,                                Can COVID-19 be passed from a woman to her unborn or newborn baby?                            ,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her foetus or baby during pregnancy or delivery. To date, the active virus has not been found in samples of amniotic fluid or breastmilk."
167,                                What care should be available during pregnancy and childbirth?                            ,"All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. This includes antenatal, newborn, postnatal, intrapartum and mental health care.A safe and positive childbirth experience includes:Being treated with respect and dignity;Having a companion of choice present during delivery;Clear communication by maternity staff;Appropriate pain relief strategies:Mobility in labour where possible, and birth position of choice.If COVID-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene, and appropriate use of protective clothing like gloves, gown and medical mask. "
168,                                Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?                            ,No. WHO advice is that caesarean sections should only be performed when medically justified. The mode of birth should be individualized and based on a woman’s preferences alongside obstetric indications. 
169,                                Can I touch and hold my newborn baby if I have COVID-19?                            ,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. You should be supported toBreastfeed safely, with good respiratory hygiene; Hold your      newborn skin-to-skin, and Share a room      with your babyYou should wash your hands before and after touching your baby, and keep all surfaces clean.  "
170,                                What is self care?                            ,"WHO’s definition of self care is the ability of individuals, families and communities to promote health, prevent disease, maintain health, and to cope with illness and disability with or without the support of a health worker. "
171,                                What are self-care interventions?                            ,"Self-care interventions recommended by WHO are evidence-based and can include information about a sexual or reproductive health issue as well as ways in which individuals can obtain drugs, devices, diagnostics and/or digital products fully or partially separate from formal health services that can be used with or without the direct supervision of a health worker. For example, self-injectable contraception, HPV self-sampling kits or HIV self-tests. "
172,                                Why are self-care interventions important during a pandemic like COVID-19?                            ,"With the major disruptions to the normal functioning of national health systems caused by the need to respond to people who have or are affected by the virus, evidence-based, high-quality self-care interventions can provide an important alternative to the usual health facility- or health worker-based services. Self-care is a valuable part of a well-functioning health system and can be particularly useful when physical distancing measures make it more difficult for people to access their normal health care services and medications.More information can be found here: "
173,                                Do I need to see a health worker for self care actions?                            ,"Self-care interventions provide individuals, families and communities with a way to manage their own health at home. Some self-care actions, such as washing your hands and practicing good respiratory hygiene measures that protect you from COVID-19, do not need you to meet with a health worker. Other self-care interventions, such as obtaining a prescription for hormonal contraception and abortion medications or counselling during pregnancy, will need interaction with a health worker. Such support can be provided in different ways during this pandemic and will depend on the healthcare arrangements in place where you live; for example, some medicines are available over-the-counter without a prescription in a pharmacy, or counseling and important information during pregnancy and when caring for a newborn can be provided over the phone or online. "
174,                                What self care actions can I take to protect my sexual and reproductive health?                            ,"In 2019, WHO issued a new guideline that brought together 32 existing or new recommendations on a range of sexual and reproductive health self-care interventions. The guideline has recommendations on pregnancy and newborn care, contraception, abortion, sexually transmitted infections including HIV and HPV, and for sexual health more broadly. The full list of recommendations can be found here:  "
175,                                How can I get healthcare support during the COVID-19 pandemic for a self-care intervention?                            ,"There are a number of ways in which support can be provided:Digital technologies and platforms, such as helplines through the phone or online or websites of organizations with recognized expertise may be available for consultation or follow up. Such information sources could enable you to then proceed with obtaining and self-administering an injectable contraceptive or self-testing for HIV, for example.It may also be possible to get over the counter medical devices, medicines, information and diagnostics through pharmacies or drug stores. Menstrual hygiene products, pregnancy tests, condoms and emergency contraception pills are usually available over-the-counter and depending on where you live, contraceptive pills and drugs that protect you from getting HIV if you think you have been exposed to risk.You may also be able to receive communications in a variety of ways that can help keep you healthy. Examples include notifications and reminders about taking medicines sent by SMS or email.  "
176,                                Is self care safe?                            ,"For all of the recommendations on self-care interventions on sexual and reproductive health issued by WHO, the evidence to date suggests that self care is safe, with the right level of support by the health service as needed.Self-care can also benefit health workers, by allowing them to serve a greater number of patients and deploying their clinical skills where greatest need exists. During a pandemic such as COVID-19, adopting self-care as part of the healthcare system can also reduce the exposure of health workers to infection as self-care will reduce the number of in-person contacts with a health worker. "
177,                                Who is self care for?                            ,"Self care can be practiced by everyone and evidence-based self-care interventions have the potential to benefit even the most vulnerable populations. For individuals who may need to access information, counselling or a health services before, during or after accessing a self-care intervention, links with existing health services remains important. Examples of providing access to referrals and health facilities for non-COVID-19 related SRH conditions may include ensuring antenatal care visits, delivery and postpartum care; retesting and HIV treatment if an individual’s HIV self-test is positive along with other STI diagnostic and treatment as required. In addition, crisis centers, shelters, legal aid, and protection services for individuals subject to violence.  "
178,                                Where can I get more information?                            ,Further information about self-care can be found on the WHO website:4More information about COVID-19 and sexual and reproductive healthMore information on COVID-19 
179,"                                As a smoker, is my risk of getting the COVID-19 virus higher than that of a non-smoker?                            ","At the time of preparing this Q&A, there are no peer-reviewed studies that have evaluated the risk of SARS-CoV-2 infection associated with smoking. However, tobacco smokers (cigarettes, waterpipes, bidis, cigars, heated tobacco products) may be more vulnerable to contracting COVID-19, as the act of smoking involves contact of fingers (and possibly contaminated cigarettes) with the lips, which increases the possibility of transmission of viruses from hand to mouth. Smoking waterpipes, also known as shisha or hookah, often involves the sharing of mouth pieces and hoses, which could facilitate the transmission of the COVID-19 virus in communal and social settings."
180,"                                As a smoker, am I likely to get more severe symptoms if infected?                            ",Smoking any kind of tobacco reduces lung capacity and increases the risk of many respiratory infections and can increase the severity of respiratory diseases. COVID-19 is an infectious disease that primarily attacks the lungs. Smoking impairs lung function making it harder for the body to fight off coronaviruses and other respiratory diseases.  Available research suggests that smokers are at higher risk of developing severe COVID-19 outcomes and death.  
181,"                                As a vaper, am I more likely to be infected or to have more severe symptoms if infected?                            ","There is no evidence about the relationship between e-cigarette use and COVID-19. However, existing evidence indicates that electronic nicotine delivery systems (ENDS) and electronic non-nicotine delivery systems (ENNDS), more commonly referred to as e-cigarettes, are harmful and increase the risk of heart disease and lung disorders.  Given that the COVID-19 virus affects the respiratory tract, the hand-to-mouth action of e-cigarette use  may increase the risk of infection."
